event_id,account_id,event_name,event_at,user_role
1,10001,invite_user,2026-01-13 00:00:00,admin
2,10001,invite_user,2026-03-28 00:00:00,admin
3,10001,login,2026-03-28 00:00:00,admin
4,10001,invite_user,2026-03-23 00:00:00,member
5,10001,login,2026-03-28 00:00:00,admin
6,10001,create_project,2026-01-14 00:00:00,member
7,10001,integration_sync,2026-03-19 00:00:00,admin
8,10001,invite_user,2026-01-18 00:00:00,member
9,10001,create_project,2026-03-30 00:00:00,viewer
10,10001,integration_sync,2026-01-25 00:00:00,admin
11,10001,login,2026-04-12 00:00:00,viewer
12,10001,create_project,2026-04-16 00:00:00,member
13,10001,create_project,2026-02-07 00:00:00,admin
14,10001,integration_sync,2026-01-23 00:00:00,admin
15,10001,integration_sync,2026-02-06 00:00:00,admin
16,10001,integration_sync,2026-04-22 00:00:00,member
17,10001,integration_sync,2026-04-11 00:00:00,member
18,10001,integration_sync,2026-01-02 00:00:00,admin
19,10001,dashboard_view,2026-01-17 00:00:00,viewer
20,10001,invite_user,2026-04-05 00:00:00,member
21,10001,login,2026-02-10 00:00:00,viewer
22,10001,dashboard_view,2026-04-07 00:00:00,viewer
23,10001,dashboard_view,2026-04-18 00:00:00,member
24,10001,invite_user,2026-03-02 00:00:00,viewer
25,10001,invite_user,2026-04-10 00:00:00,viewer
26,10001,create_project,2026-04-21 00:00:00,viewer
27,10001,export_report,2026-01-24 00:00:00,admin
28,10002,create_project,2026-02-17 00:00:00,admin
29,10002,dashboard_view,2026-02-13 00:00:00,member
30,10002,export_report,2026-01-27 00:00:00,member
31,10002,invite_user,2026-01-02 00:00:00,member
32,10002,export_report,2026-01-15 00:00:00,viewer
33,10002,export_report,2026-02-07 00:00:00,member
34,10002,create_project,2026-03-19 00:00:00,admin
35,10002,export_report,2026-01-07 00:00:00,admin
36,10002,create_project,2026-01-21 00:00:00,member
37,10002,login,2026-01-30 00:00:00,admin
38,10002,dashboard_view,2026-03-30 00:00:00,admin
39,10002,login,2026-04-13 00:00:00,viewer
40,10002,dashboard_view,2026-01-22 00:00:00,member
41,10002,login,2026-02-20 00:00:00,admin
42,10002,login,2026-03-03 00:00:00,viewer
43,10002,export_report,2026-04-01 00:00:00,viewer
44,10002,dashboard_view,2026-01-16 00:00:00,admin
45,10002,export_report,2026-04-09 00:00:00,viewer
46,10002,integration_sync,2026-02-07 00:00:00,member
47,10002,login,2026-02-07 00:00:00,admin
48,10002,dashboard_view,2026-01-11 00:00:00,member
49,10002,dashboard_view,2026-04-25 00:00:00,member
50,10002,invite_user,2026-03-04 00:00:00,viewer
51,10002,integration_sync,2026-03-04 00:00:00,member
52,10002,invite_user,2026-03-19 00:00:00,viewer
53,10002,login,2026-04-03 00:00:00,member
54,10002,login,2026-01-12 00:00:00,member
55,10002,create_project,2026-01-13 00:00:00,admin
56,10002,dashboard_view,2026-03-28 00:00:00,admin
57,10002,integration_sync,2026-02-24 00:00:00,viewer
58,10002,create_project,2026-01-08 00:00:00,admin
59,10002,dashboard_view,2026-03-08 00:00:00,admin
60,10002,dashboard_view,2026-04-10 00:00:00,member
61,10002,integration_sync,2026-01-23 00:00:00,member
62,10002,dashboard_view,2026-02-22 00:00:00,admin
63,10002,integration_sync,2026-03-29 00:00:00,viewer
64,10002,export_report,2026-01-17 00:00:00,admin
65,10002,integration_sync,2026-04-13 00:00:00,admin
66,10002,export_report,2026-03-02 00:00:00,member
67,10002,export_report,2026-04-20 00:00:00,viewer
68,10002,login,2026-02-25 00:00:00,viewer
69,10003,create_project,2026-04-21 00:00:00,member
70,10003,export_report,2026-02-25 00:00:00,admin
71,10003,integration_sync,2026-02-09 00:00:00,admin
72,10003,integration_sync,2026-01-24 00:00:00,viewer
73,10003,invite_user,2026-04-06 00:00:00,admin
74,10003,integration_sync,2026-01-28 00:00:00,viewer
75,10003,invite_user,2026-01-01 00:00:00,member
76,10003,login,2026-02-02 00:00:00,viewer
77,10003,export_report,2026-03-27 00:00:00,viewer
78,10003,invite_user,2026-03-07 00:00:00,admin
79,10003,create_project,2026-03-28 00:00:00,admin
80,10003,invite_user,2026-01-17 00:00:00,viewer
81,10003,export_report,2026-03-19 00:00:00,viewer
82,10003,create_project,2026-01-06 00:00:00,member
83,10003,create_project,2026-02-08 00:00:00,admin
84,10003,integration_sync,2026-02-08 00:00:00,admin
85,10003,dashboard_view,2026-01-06 00:00:00,admin
86,10003,invite_user,2026-01-08 00:00:00,viewer
87,10003,invite_user,2026-04-04 00:00:00,admin
88,10003,export_report,2026-01-16 00:00:00,admin
89,10003,invite_user,2026-04-14 00:00:00,admin
90,10003,integration_sync,2026-01-12 00:00:00,admin
91,10003,export_report,2026-02-26 00:00:00,member
92,10003,integration_sync,2026-01-10 00:00:00,viewer
93,10003,dashboard_view,2026-04-02 00:00:00,admin
94,10003,invite_user,2026-04-26 00:00:00,viewer
95,10003,dashboard_view,2026-04-20 00:00:00,member
96,10003,login,2026-01-28 00:00:00,admin
97,10003,dashboard_view,2026-02-03 00:00:00,member
98,10003,dashboard_view,2026-01-20 00:00:00,member
99,10003,export_report,2026-04-29 00:00:00,member
100,10003,export_report,2026-04-13 00:00:00,viewer
101,10003,integration_sync,2026-03-25 00:00:00,viewer
102,10003,dashboard_view,2026-03-30 00:00:00,admin
103,10003,export_report,2026-01-29 00:00:00,member
104,10003,invite_user,2026-04-29 00:00:00,member
105,10003,dashboard_view,2026-04-07 00:00:00,viewer
106,10003,create_project,2026-04-04 00:00:00,admin
107,10003,export_report,2026-02-28 00:00:00,admin
108,10003,dashboard_view,2026-04-16 00:00:00,member
109,10003,login,2026-01-22 00:00:00,admin
110,10003,dashboard_view,2026-02-18 00:00:00,admin
111,10003,export_report,2026-04-25 00:00:00,member
112,10003,invite_user,2026-01-22 00:00:00,viewer
113,10003,login,2026-04-23 00:00:00,admin
114,10003,login,2026-02-11 00:00:00,admin
115,10003,login,2026-01-23 00:00:00,viewer
116,10003,integration_sync,2026-01-30 00:00:00,member
117,10003,invite_user,2026-02-21 00:00:00,member
118,10003,dashboard_view,2026-03-03 00:00:00,member
119,10003,dashboard_view,2026-03-20 00:00:00,admin
120,10003,create_project,2026-02-10 00:00:00,admin
121,10003,integration_sync,2026-03-01 00:00:00,admin
122,10003,invite_user,2026-04-10 00:00:00,viewer
123,10003,dashboard_view,2026-04-21 00:00:00,member
124,10003,dashboard_view,2026-04-25 00:00:00,member
125,10003,invite_user,2026-04-26 00:00:00,member
126,10003,login,2026-01-13 00:00:00,member
127,10003,login,2026-01-15 00:00:00,admin
128,10003,export_report,2026-02-27 00:00:00,member
129,10003,export_report,2026-04-30 00:00:00,admin
130,10003,invite_user,2026-03-15 00:00:00,admin
131,10003,create_project,2026-01-06 00:00:00,admin
132,10003,create_project,2026-01-24 00:00:00,admin
133,10003,integration_sync,2026-04-10 00:00:00,member
134,10003,login,2026-03-30 00:00:00,admin
135,10003,login,2026-03-10 00:00:00,member
136,10003,create_project,2026-04-27 00:00:00,admin
