invoice_id,subscription_id,account_id,invoice_date,amount,status
1,1,10004,2025-02-22,3960.34,paid
2,1,10004,2025-03-22,3960.34,failed
3,1,10004,2025-04-22,3960.34,paid
4,1,10004,2025-05-22,3960.34,paid
5,1,10004,2025-06-22,3960.34,paid
6,1,10004,2025-07-22,3960.34,paid
7,1,10004,2025-08-22,3960.34,paid
8,1,10004,2025-09-22,3960.34,paid
9,1,10004,2025-10-22,3960.34,paid
10,1,10004,2025-11-22,3960.34,paid
11,1,10004,2025-12-22,3960.34,paid
12,1,10004,2026-01-22,3960.34,paid
13,2,10006,2025-12-28,16987.73,paid
14,2,10006,2026-01-28,16987.73,paid
15,2,10006,2026-02-28,16987.73,paid
16,2,10006,2026-03-28,16987.73,paid
17,2,10006,2026-04-28,16987.73,paid
18,2,10006,2026-05-28,16987.73,paid
19,2,10006,2026-06-28,16987.73,failed
20,2,10006,2026-07-28,16987.73,paid
21,2,10006,2026-08-28,16987.73,paid
22,2,10006,2026-09-28,16987.73,paid
23,2,10006,2026-10-28,16987.73,paid
24,2,10006,2026-11-28,16987.73,paid
25,3,10007,2025-03-11,2793.26,paid
26,3,10007,2025-04-11,2793.26,paid
27,3,10007,2025-05-11,2793.26,paid
28,3,10007,2025-06-11,2793.26,paid
29,3,10007,2025-07-11,2793.26,paid
30,3,10007,2025-08-11,2793.26,paid
31,3,10007,2025-09-11,2793.26,paid
32,3,10007,2025-10-11,2793.26,paid
33,3,10007,2025-11-11,2793.26,paid
34,3,10007,2025-12-11,2793.26,paid
35,3,10007,2026-01-11,2793.26,paid
36,3,10007,2026-02-11,2793.26,paid
37,4,10008,2025-12-30,4134.84,paid
38,4,10008,2026-01-30,4134.84,paid
39,4,10008,2026-02-28,4134.84,paid
40,4,10008,2026-03-30,4134.84,paid
41,4,10008,2026-04-30,4134.84,paid
42,4,10008,2026-05-30,4134.84,paid
43,4,10008,2026-06-30,4134.84,paid
44,4,10008,2026-07-30,4134.84,paid
45,4,10008,2026-08-30,4134.84,paid
46,4,10008,2026-09-30,4134.84,paid
47,4,10008,2026-10-30,4134.84,paid
48,4,10008,2026-11-30,4134.84,paid
49,5,10009,2025-05-03,1284.05,paid
50,5,10009,2025-06-03,1284.05,paid
51,5,10009,2025-07-03,1284.05,paid
52,5,10009,2025-08-03,1284.05,paid
53,5,10009,2025-09-03,1284.05,paid
54,5,10009,2025-10-03,1284.05,paid
55,5,10009,2025-11-03,1284.05,paid
56,5,10009,2025-12-03,1284.05,paid
57,5,10009,2026-01-03,1284.05,paid
58,5,10009,2026-02-03,1284.05,paid
59,5,10009,2026-03-03,1284.05,paid
60,5,10009,2026-04-03,1284.05,paid
61,6,10010,2026-02-18,2626.02,paid
62,6,10010,2026-03-18,2626.02,paid
63,6,10010,2026-04-18,2626.02,paid
64,6,10010,2026-05-18,2626.02,failed
65,6,10010,2026-06-18,2626.02,paid
66,6,10010,2026-07-18,2626.02,paid
67,6,10010,2026-08-18,2626.02,failed
68,6,10010,2026-09-18,2626.02,paid
69,6,10010,2026-10-18,2626.02,paid
70,6,10010,2026-11-18,2626.02,paid
71,6,10010,2026-12-18,2626.02,paid
72,6,10010,2027-01-18,2626.02,paid
73,7,10012,2025-02-22,11680.24,paid
74,7,10012,2025-03-22,11680.24,paid
75,7,10012,2025-04-22,11680.24,paid
76,7,10012,2025-05-22,11680.24,paid
77,7,10012,2025-06-22,11680.24,paid
78,7,10012,2025-07-22,11680.24,paid
79,7,10012,2025-08-22,11680.24,paid
80,7,10012,2025-09-22,11680.24,paid
81,7,10012,2025-10-22,11680.24,paid
82,7,10012,2025-11-22,11680.24,paid
83,7,10012,2025-12-22,11680.24,paid
84,7,10012,2026-01-22,11680.24,paid
85,8,10013,2025-11-13,4519.59,paid
86,8,10013,2025-12-13,4519.59,paid
87,8,10013,2026-01-13,4519.59,paid
88,8,10013,2026-02-13,4519.59,paid
89,8,10013,2026-03-13,4519.59,paid
90,8,10013,2026-04-13,4519.59,paid
91,8,10013,2026-05-13,4519.59,paid
92,8,10013,2026-06-13,4519.59,paid
93,8,10013,2026-07-13,4519.59,paid
94,8,10013,2026-08-13,4519.59,paid
95,8,10013,2026-09-13,4519.59,failed
96,8,10013,2026-10-13,4519.59,paid
97,9,10014,2025-06-08,15406.7,paid
98,9,10014,2025-07-08,15406.7,paid
99,9,10014,2025-08-08,15406.7,paid
100,9,10014,2025-09-08,15406.7,paid
101,9,10014,2025-10-08,15406.7,paid
