contact_id,account_id,role,is_primary,created_at
1,10001,user,False,2024-01-23
2,10002,user,False,2025-09-09
3,10002,admin,True,2025-07-03
4,10002,executive,False,2024-02-04
5,10002,executive,False,2024-02-06
6,10003,user,True,2025-07-26
7,10003,buyer,False,2024-10-27
8,10003,admin,False,2024-06-14
9,10004,admin,True,2024-07-25
10,10005,admin,False,2024-01-14
11,10005,user,False,2024-05-27
12,10005,admin,True,2024-08-16
13,10005,user,False,2024-04-16
14,10006,user,False,2024-08-27
15,10006,executive,True,2024-10-09
16,10006,executive,False,2024-04-08
17,10006,executive,False,2025-09-07
18,10007,user,True,2024-12-15
19,10007,user,False,2025-02-07
20,10007,user,False,2024-12-08
21,10007,executive,True,2024-01-11
22,10008,user,False,2025-01-15
23,10008,buyer,False,2024-08-02
24,10008,user,True,2024-01-09
25,10008,user,False,2024-01-01
26,10009,buyer,False,2025-06-23
27,10009,user,True,2024-06-11
28,10010,executive,False,2024-08-31
29,10010,admin,False,2025-02-04
30,10010,buyer,True,2024-07-26
31,10010,user,False,2024-06-06
32,10011,user,False,2025-05-07
33,10011,buyer,True,2025-09-09
34,10012,admin,False,2025-03-26
35,10012,admin,False,2024-06-14
36,10012,admin,True,2024-10-28
37,10013,user,False,2025-02-05
38,10013,user,False,2024-06-10
39,10013,user,True,2024-12-01
40,10013,buyer,False,2024-11-05
41,10014,admin,False,2024-10-25
42,10015,executive,True,2024-09-02
43,10015,user,False,2024-01-11
44,10015,user,False,2024-11-05
45,10016,user,True,2024-04-13
46,10016,user,False,2025-02-06
47,10016,user,False,2025-08-26
48,10016,executive,True,2024-03-20
49,10017,user,False,2024-01-17
50,10017,admin,False,2025-04-14
51,10018,admin,True,2025-01-26
52,10019,buyer,False,2024-05-12
53,10019,buyer,False,2024-04-17
54,10020,user,True,2024-09-18
55,10021,user,False,2025-08-03
56,10021,admin,False,2025-06-15
57,10021,executive,True,2024-07-11
58,10022,buyer,False,2024-02-27
59,10022,executive,False,2025-01-04
60,10023,buyer,True,2025-06-27
61,10023,buyer,False,2025-03-09
62,10023,user,False,2024-11-14
